Date,Close,High,Low,Open,Volume
10-03-21,224.7281799,229.156609,224.3607511,229.156609,29746800
11-03-21,229.2823334,231.2548143,226.5556525,227.18415,29907600
12-03-21,227.9479675,228.015658,225.5113616,226.2655467,22653700
15-03-21,227.0391083,227.4065371,224.1383914,227.184153,26034900
16-03-21,229.8431244,232.1153436,228.1316974,228.4604418,28092200
17-03-21,229.195282,230.6553188,225.5113742,228.3347366,29562100
18-03-21,223.0844574,226.439621,222.7073648,224.8635601,34833000
19-03-21,222.7267456,224.7765811,221.7598399,223.3745707,46430700
22-03-21,228.180069,229.0599419,222.523665,222.6493675,30127000
23-03-21,229.7174225,233.0725859,229.224306,229.6304045,31638400
24-03-21,227.6676178,230.1235517,227.5322516,229.9785218,25620100
25-03-21,224.6508789,229.0986513,223.9063721,227.5129264,34061900
26-03-21,228.6538696,228.8762686,223.8870313,223.8870313,25479900
29-03-21,227.4548645,228.9632348,224.2060613,228.7601781,25227500
30-03-21,224.1770935,226.1109049,223.4519142,225.801488,24792000
31-03-21,227.9673615,231.1871592,224.6992155,225.2020106,43623500
01-04-21,234.3295898,234.8033642,230.1718926,230.5779912,30338000
05-04-21,240.827179,241.6877243,234.6679804,234.7259924,36910600
06-04-21,239.6572113,241.1462394,238.709648,239.4154849,22931900
07-04-21,241.629715,242.6256266,239.0094089,239.6088857,22719800
08-04-21,244.8688507,245.7293961,243.6602187,244.4047401,23625200
09-04-21,247.3828125,247.5181787,244.0856607,244.5014231,24326800
12-04-21,247.4407806,249.1425437,246.1934643,246.280497,27148700
13-04-21,249.9354248,250.6122705,248.3303579,248.7461498,23837500
14-04-21,247.1314087,250.2641735,246.7156463,248.9588745,23070900
15-04-21,250.9120178,251.3277802,249.2006054,249.3939689,25627500
16-04-21,252.1109924,252.3623974,249.0749238,250.8830328,24878600
19-04-21,250.1771545,252.826496,249.2876179,251.5791795,23209300
20-04-21,249.7130737,251.5888731,248.3400547,249.2876329,19722900
21-04-21,251.9562378,252.0529343,248.7364553,250.370528,24030400
22-04-21,248.6591339,253.1165547,247.1797547,251.5985058,25606200
23-04-21,252.5073547,252.855456,248.7557568,249.3455845,21462600
26-04-21,252.8941956,253.7547559,251.5598904,253.0005705,19763300
27-04-21,253.3002625,254.4798885,251.5114812,252.9231551,31014200
28-04-21,246.135498,248.0499818,244.5787794,247.605184,46903100
29-04-21,244.1533203,247.6245225,240.7594871,247.0057035,40589000
30-04-21,243.834259,244.704483,241.3396554,241.4750216,30945100
03-05-21,243.5248413,245.9324415,242.8093259,245.0138694,19626600
04-05-21,239.5895538,242.8963843,237.6267365,242.6643216,32756100
05-05-21,238.3132629,241.2429862,237.6847801,240.8175453,21901300
06-05-21,241.4653473,241.5910497,236.5921492,238.2938979,26491100
07-05-21,244.1049805,245.8840831,242.8576641,243.8052274,27032900
10-05-21,238.9997101,243.3991333,238.9416981,242.567594,29299900
11-05-21,238.0811615,238.4389266,234.5422982,236.4567672,33641600
12-05-21,231.0904846,236.2924425,230.1912693,234.1555742,36684400
13-05-21,234.9870758,237.4720304,233.4303571,233.797786,29624300
14-05-21,239.9376068,240.9335183,237.3656493,237.4526672,23901100
17-05-21,237.0658875,238.4292278,235.4608355,238.390558,24970200
18-05-21,235.0354004,238.2551976,234.8613497,238.1198314,20168000
19-05-21,235.6168976,235.7235034,231.2364031,231.924483,25739800
20-05-21,238.8731995,240.2978339,236.3340619,236.4309816,21800700
21-05-21,237.6036682,240.6661492,237.1869458,239.9296093,21863100
24-05-21,243.0405273,243.4088047,239.8714406,240.1427982,21411500
25-05-21,243.9515076,244.9497189,243.079289,243.9999674,17704300
26-05-21,243.7285767,245.1338241,243.0114091,243.6704159,17771600
27-05-21,241.61586,243.7188883,241.5577141,243.4184578,24426200
28-05-21,241.974411,244.3003515,241.8581192,243.2536805,18270200
01-06-21,239.7648163,243.5347638,239.3384078,243.4766179,23213300
02-06-21,239.6679077,241.5771114,238.2529593,240.4722943,19406700
03-06-21,238.1269684,238.7375154,235.5005972,237.6520853,25307700
04-06-21,243.0501709,243.8836304,239.8713987,240.1136832,25281100
07-06-21,245.9769897,246.2483473,242.1004365,242.2651883,23079200
08-06-21,244.7752533,248.1090912,244.7170926,247.2853178,22455000
09-06-21,245.7637787,247.6439094,245.3955162,245.9769903,17937600
10-06-21,249.3010864,249.514298,245.8412709,246.4421319,24563600
11-06-21,249.931076,250.5125353,248.6905507,250.0279662,18999700
14-06-21,251.8694,251.927546,248.8747363,249.9407944,19150500
15-06-21,250.3865967,251.9662971,249.7275896,251.7530854,18038900
16-06-21,249.4367981,252.5380226,246.5681425,251.3944466,27220000
17-06-21,252.8482208,253.6719944,248.1091491,248.167295,27565500
18-06-21,251.4235535,254.2049758,250.7645465,251.617393,37202200
21-06-21,254.524826,255.3873439,249.9601924,251.8015495,26696100
22-06-21,257.3159485,257.5873061,254.3019127,254.612044,24694100
23-06-21,257.083374,258.5952278,256.2693012,257.781155,19518700
24-06-21,258.4594421,259.5836459,257.2770925,257.9458001,21446900
25-06-21,256.841095,259.0022846,256.5891391,258.0137739,25611100
28-06-21,260.4268494,260.6012872,257.7035731,257.9749306,19590000
29-06-21,263.0241394,263.266424,259.7097028,260.5722206,19937800
30-06-21,262.5395508,262.9853461,261.2796829,262.33604,21656500
01-07-21,263.2179565,263.4505403,261.27968,261.2893513,16725300
02-07-21,269.0812988,269.4205032,264.0902415,264.4003729,26458000
06-07-21,269.0909119,270.7481299,265.8345922,269.4494883,31565600
